,CODE,NAME OF STOCK,CUR,"PRV,CLO/",ASK/,HIGH/,SHARES TRADED/
,,,,CLOSING,BID,LOW,TURNOVER ($)
,,,,"8,11","8,10","7,93",250945013
,269,CRTG,HKD,"0,066","0,065","0,065",855000
,,,,"0,064","0,063","0,062",53295
,270,GUANGDONG INV,HKD,"14,40","14,34","14,70",21342102
,,,,"14,32","14,32","14,22",305942714
,271,ASIASEC PPT,HKD,"3,51","3,56","3,65",508000
,,,,"3,55","3,51","3,48",1795795
,272,SHUI ON LAND,HKD,"1,84","1,85","1,87",9968821
,,,,"1,85","1,84","1,82",18416445
,273,MASON GP HOLD,HKD,"0,139","0,14","0,14",30282099
,,,,"0,14","0,139","0,139",4210928
,274,C BILLION RES,HKD,"0,027","0,027","0,028",11240000
,,,,"0,026","0,026","0,026",303040
<,/font>,</pre><pre><font,siz,e='1'>,275 MASTE,R GLORY G,"P  HKD    0,022    0"
,,,,"0,021","0,02","0,02",465122
,276,MONGOLIA ENERGY,HKD,"0,13","0,129","0,131",212000
,,,,"0,128","0,125","0,122",27385
,277,TERN PROPERTIES,HKD,"4,166","4,90",-,-
,,,,"4,166","3,64",-,-
,278,WAH HA REALTY,HKD,"7,40","8,20","7,40",2000
,,,,"7,40","7,30","7,40",14800
,279,FREEMAN FIN-NEW,HKD,"0,40","0,405","0,405",6746000
,,,,"0,405","0,40","0,395",2707150
,280,KING FOOK HOLD,HKD,"0,33","0,32","0,33",962000
,,,,"0,315","0,315","0,315",305870
,281,RIVERA (HOLD),HKD,"0,55","0,58","0,85",15762000
,,,,"0,58","0,57","0,57",9495000
,282,NEXT DIGITAL,HKD,"0,215","0,214","0,215",56608
,,,,"0,214","0,204","0,205",11873
,285,BYD ELECTRONIC,HKD,"11,74","11,68","11,98",12159181
,,,,"11,68","11,66","11,40",141598664
,286,CS HEALTH,HKD,"0,66","0,65","0,66",2836012
,,,,"0,65","0,64","0,65",1848087
,287,WINFAIR INV,HKD,"13,80","13,98","14,00",6000
,,,,"13,80","13,70","13,80",83200
,288,WH GROUP,HKD,"6,38","6,34","6,35",38893801
,,,,"6,34","6,33","6,21",244037438
,289,WING ON CO,HKD,"26,00","26,00","26,00",10000
,,,,"26,00","25,85","26,00",260000
,290,C FORTUNE FIN,HKD,"0,074","0,074","0,077",16032000
,,,,"0,073","0,073","0,072",1176988
,291,CHINA RES BEER,HKD,"27,75","28,05","28,30",8126661
,,,,"28,00","28,00","27,55",226629951
,292,ASIA STD HOTEL,HKD,"0,35","0,365","0,36",50000
,,,,"0,36","0,35","0,36",18000
,293,CATHAY PAC AIR,HKD,"11,10","11,18","11,26",2851675
,,,,"11,18","11,16","11,00",31739910
,294,YANGTZEKIANG,HKD,"2,85","2,85","2,87",159000
,,,,"2,81","2,80","2,80",447080
,295,KONG SUN HOLD,HKD,"0,078","0,082","0,083",2475000
,,,,"0,079","0,078","0,073",198000
,296,EMPEROR E HOTEL,HKD,"1,49","1,50","1,50",1385000
,,,,"1,50","1,49","1,46",2056000
,297,SINOFERT,HKD,"0,90","0,92","0,92",7269430
,,,,"0,91","0,91","0,90",6637822
,298,CHUANG'S CHINA,HKD,"0,51","0,51",-,-
,,,,"0,51","0,50",-,-
,299,NEW SPORTS,HKD,"0,44","0,485","0,52",7822000
,,,,"0,485","0,48","0,435",3867055
,300,KUNMING MACHINE,HKD,TRADING,SUSPENDED,,
,303,VTECH HOLDINGS,HKD,"74,274","74,00","75,30",362515
,,,,"74,00","73,90","73,30",26795125
,305,WULING MOTORS,HKD,"0,33","0,345","0,33",80000
,,,,"0,33","0,325","0,325",26350
,306,KWOON CHUNG BUS,HKD,"4,72","4,78","4,80",348000
,,,,"4,76","4,75","4,70",1656080
,307,UP ENERGY DEV,HKD,TRADING,SUSPENDED,,
,308,CHINA TRAVEL HK,HKD,"2,22","2,30","2,31",13938884
,,,,"2,30","2,29","2,23",31845954
,309,XH NEWS MEDIA,HKD,"0,192","0,196","0,198",4000
,,,,"0,196","0,182","0,172",753
,310,PROSP INV HOLD,HKD,"0,044","0,044",-,-
,,,,"0,044","0,04",-,-
,311,LUEN THAI,HKD,"0,89","0,89","0,88",189000
,,,,"0,88","0,87","0,88",166320
,312,SHIRBLE STORE,HKD,TRADING,SUSPENDED,,
,313,RICHLY FIELD,HKD,"0,044","0,054","0,055",20020000
,,,,"0,055","0,05","0,037",829230
,315,SMARTONE TELE,HKD,"9,74","9,75","9,80",1088000
,,,,"9,75","9,73","9,56",10585520
,316,OOIL,HKD,"50,10","50,10","52,00",8740
,,,,"50,10","50,05","50,05",439189
,317,COMEC,HKD,"5,82","5,84","5,89",308000
,,,,"5,82","5,79","5,79",1790500
,318,VONGROUP,HKD,"0,50","0,55",-,500
,,,,"0,50","0,46",-,225
,320,COMPUTIME,HKD,"0,83","0,84",-,-
,,,,"0,83","0,80",-,-
,321,TEXWINCA HOLD,HKD,"3,15","3,23","3,23",1478000
,,,,"3,21","3,21","3,10",4704240
,322,TINGYI,HKD,"10,20","10,24","10,50",22943755
,,,,"10,22","10,22","10,08",233872343
,323,MAANSHAN IRON,HKD,"3,81","3,76","3,86",34064168
,,,,"3,76","3,75","3,73",128613706
,326,CHINA STAR ENT,HKD,"0,91","0,88","0,91",5325365
,,,,"0,86","0,86","0,86",4680300
,327,PAX GLOBAL,HKD,"3,62","3,60","3,62",1801076
,,,,"3,60","3,59","3,58",6471754
,328,ALCO HOLDINGS,HKD,"1,02","1,02","1,02",22000
,,,,"1,02","1,01","1,02",22440
,329,OCI INTL,HKD,"1,49","1,49","1,47",16000
,,,,"1,47","1,32","1,33",22480
,330,ESPRIT HOLDINGS,HKD,"1,85","1,84","1,86",2035521
,,,,"1,83","1,83","1,83",3745508
,331,FSE SERVICES,HKD,"3,197","3,21","3,23",205000
,,,,"3,21","3,20","3,15",656880
,332,YUANHENG GAS,HKD,"0,68","0,66","0,72",4162000
,,,,"0,66","0,63","0,63",2838200
,333,TOP FORM INT'L,HKD,"1,60","1,60",-,-
,,,,"1,60","1,52",-,-
,334,CH DISPLAY OPT,HKD,"0,50","0,56","0,56",2129000
,,,,"0,56","0,55","0,50",1103525
,335,UPBEST GROUP,HKD,"1,04","1,03","1,03",52000
,,,,"1,03","1,00","1,00",52060
,336,HUABAO INTL,HKD,"3,71","3,67","3,75",1590000
,,,,"3,66","3,65","3,66",5858320
,337,GREENLAND HK,HKD,"2,15","2,16","2,18",1918000
,,,,"2,15","2,13","2,11",4116970
,338,SHANGHAI PECHEM,HKD,"3,60","3,68","3,69",20367906
,,,,"3,68","3,66","3,60",74617214
,339,CORE ECON INV,HKD,"0,50","0,70",-,-
,,,,"0,50","0,425",-,-
,340,TONGGUAN GOLD,HKD,"0,50","0,47","0,50",1413260
,,,,"0,46","0,46","0,46",674486
,341,CAFE DE CORAL H,HKD,"19,48","19,18","19,58",615047
,,,,"19,14","19,08","19,08",11811993
,342,NEWOCEAN ENERGY,HKD,"2,86","2,79","2,87",3804000
,,,,"2,76","2,75","2,71",10598080
,343,CULTURECOM HOLD,HKD,"0,315","0,32","0,32",1712000
,,,,"0,32","0,31","0,31",536505
,345,VITASOY INT'L,HKD,"31,95","31,90","32,40",2072417
,,,,"31,85","31,85","31,60",66233921
,346,YANCHANG PETRO,HKD,"0,074","0,074","0,074",40000
,,,,"0,074","0,071","0,074",2960
,347,ANGANG STEEL,HKD,"6,72","6,57","6,93",15874834
,,,,"6,57","6,55","6,52",104892986
,348,CHINAHEALTHWISE,HKD,"0,066","0,064","0,065",1742000
,,,,"0,064","0,06","0,059",104766
,351,ASIA ENERGY LOG,HKD,"0,074","0,072","0,074",2530000
,,,,"0,07","0,068","0,068",177000
,352,FORTUNE SUN,HKD,"0,84","0,91",-,-
,,,,"0,84","0,78",-,-
,353,ENERGY INTINV,HKD,"0,203","0,204","0,203",1320000
,,,,"0,202","0,202","0,197",265140
,354,CHINASOFT INT'L,HKD,"4,77","4,75","4,77",7043948
,,,,"4,75","4,74","4,70",33415720
,355,CENTURY C INT'L,HKD,"0,71","0,70","0,71",670760
,,,,"0,70","0,69","0,69",466369
,356,DT CAPITAL,HKD,"0,093","0,093","0,093",150000
,,,,"0,093","0,089","0,09",13770
,357,REGAL GROUP,HKD,"7,12","7,16","7,18",96000
,,,,"7,10","7,10","7,08",686140
,358,JIANGXI COPPER,HKD,"9,69","9,71","9,74",2665943
,,,,"9,71","9,70","9,64",25857769
,359,HAISHENG JUICE,HKD,"0,178","0,186","0,178",100000
,,,,"0,178","0,175","0,178",17800
,360,NEW FOCUS AUTO,HKD,"0,27","0,27","0,27",172000
,,,,"0,26","0,26","0,26",45400
,361,SINO GOLF HOLD,HKD,"0,25","0,25","0,25",240000
,,,,"0,25","0,247","0,249",59800
,362,XINYANG MAOJIAN,HKD,"0,335","0,335","0,34",705500
,,,,"0,32","0,32","0,32",233007
,363,SHANGHAI IND H,HKD,"17,30","17,36","17,48",1679436
,,,,"17,36","17,32","17,22",29077254
,364,BLOCKCHAIN GP,HKD,TRADING,SUSPENDED,,
,365,UNIS HOLDINGS,HKD,"1,89","1,90","1,89",54000
,,,,"1,89","1,88","1,88",101600
,366,LUKS GROUP (VN),HKD,"2,03","2,05","2,05",163120
,,,,"2,05","2,03","2,02",331076
,367,CHUANG'S INT'L,HKD,"1,61","1,62","1,63",278853
,,,,"1,62","1,61","1,60",449287
,368,SINOTRANS SHIP,HKD,"2,54","2,56","2,57",12880500
,,,,"2,56","2,55","2,53",32884690
,369,WING TAI PPT,HKD,"5,47","5,43","5,49",82000
,,,,"5,43","5,40","5,40",446560
,370,CHINA BEST,HKD,"0,16","0,169","0,169",1660000
,,,,"0,168","0,16","0,156",271760
,371,BJ ENT WATER,HKD,"4,68","4,66","4,69",52937382
,,,,"4,66","4,64","4,57",245359537
,372,PT INTL DEV,HKD,"0,47","0,465","0,50",19366000
,,,,"0,46","0,455","0,455",9302820
,373,ALLIED GROUP,HKD,"43,70","50,00",-,-
,,,,"43,70","43,50",-,-
,374,FOUR SEAS MER,HKD,"3,75","3,70","3,70",22000
,,,,"3,70","3,22","3,70",81400
,375,YGM TRADING,HKD,"7,05","7,48","7,20",6000
,,,,"7,10","6,95","7,10",42800
,376,YUNFENG FIN,HKD,"4,55","5,44","5,55",4654000
,,,,"5,50","5,43","4,41",23481560
,377,HUAJUN INTL GP,HKD,"10,30","10,52","10,54",200
,,,,"10,52","10,02","10,30",2084
,378,FDG KINETIC,HKD,"0,099","0,098","0,10",5510000
,,,,"0,097","0,097","0,097",540844
,379,EG LEASING,HKD,"0,046","0,046","0,047",560000
,,,,"0,046","0,043","0,042",25400
,380,SOFTPOWER INT,HKD,"0,295","0,32","0,325",72000
,,,,"0,32","0,295","0,295",21400
,381,KIU HUNG INT'L,HKD,"0,017","0,017","0,017",8340000
,,,,"0,017","0,016","0,016",139760
,383,CHINA MED&HCARE,HKD,"0,194","0,191","0,19",4200000
,,,,"0,19","0,19","0,19",798000
,384,CHINA GAS HOLD,HKD,"28,00","28,40","28,45",5067826
,,,,"28,40","28,35","27,90",142866433
,385,CHINNEY ALLI,HKD,"1,20","1,28","1,20",10000
,,,,"1,20","1,15","1,20",12000
*,386,SINOPEC CORP,HKD,"6,91","6,83","6,85",129893095
,,,,"6,83","6,82","6,72",882802854
,387,LEEPORT(HOLD),HKD,"1,14","1,15","1,14",352000
,,,,"1,14","0,99","1,13",399600
*,388,HKEX,HKD,"235,00","240,00","239,80",6523305
,,,,"239,80","239,80","233,80",1547933638
,389,TONTINE WINES,HKD,"0,13","0,132","0,132",4000
,,,,"0,132","0,127","0,132",528
,390,CHINA RAILWAY,HKD,"7,20","7,34","7,36",14531026
,,,,"7,34","7,33","7,18",106112535
,391,MEI AH ENTER,HKD,"0,249","0,25","0,26",680000
,,,,"0,25","0,242","0,242",172440
,392,BEIJING ENT,HKD,"45,95","47,00","47,40",1283424
,,,,"47,00","46,95","46,20",60187805
,393,GLORIOUS SUN,HKD,"0,87","0,87","0,87",152000
,,,,"0,87","0,86","0,86",131000
,395,SMARTAC GP CH,HKD,"0,67","0,76","0,77",388920000
,,,,"0,76","0,75","0,65",282897200
,396,HING LEE (HK),HKD,"0,26","0,305","0,34",584000
,,,,"0,30","0,285","0,285",178340
,397,POWER FINANCIAL,HKD,"0,134","0,134","0,139",11478935
,,,,"0,131","0,131","0,131",1576076
,398,ORIENTAL WATCH,HKD,"2,14","2,24","2,24",3160000
,,,,"2,24","2,23","2,13",6923680
,399,INNOVATIVE PHAR,HKD,"0,39","0,40","0,40",265210
,,,,"0,40","0,375","0,37",101150
,400,COGOBUY,HKD,"3,05","3,07","3,08",922000
,,,,"3,07","3,06","3,00",2819910
,401,WANJIA GROUP,HKD,"0,113","0,113","0,112",295000
,,,,"0,112","0,11","0,11",32560
,402,PEACEMAP HOLD,HKD,TRADING,SUSPENDED,,
,403,STARLITE HOLD,HKD,"0,31","0,32","0,315",104000
,,,,"0,315","0,30","0,30",31570
,404,HSIN CHONG GP,HKD,TRADING,SUSPENDED,,
,405,YUEXIU REIT,HKD,"5,01","5,03","5,04",2641068
,,,,"5,03","5,02","5,00",13260917
,406,YAU LEE HOLD,HKD,"1,36","1,38",-,-
,,,,"1,36","1,30",-,-
,408,YIP'S CHEMICAL,HKD,"2,44","2,50","2,44",30000
,,,,"2,43","2,43","2,40",72740
,410,SOHO CHINA,HKD,"2,97","3,05","3,05",5390484
,,,,"3,05","3,03","2,94",16251738
,411,LAM SOON (HK),HKD,"13,80","14,20","14,10",13000
,,,,"14,10","13,92","14,10",183300
,412,CHINA SDHS FIN,HKD,"0,245","0,24","0,246",2016240
,,,,"0,233","0,231","0,23",468730
,413,SC HOLDINGS,HKD,"0,179","0,179",-,-
,,,,"0,179","0,176",-,-
,416,BANKOFJINZHOU,HKD,"8,49","8,34","8,40",232000
,,,,"8,34","8,23","8,32",1936730
,417,TSE SUI LUEN,HKD,"1,85","1,89",-,-
,,,,"1,85","1,80",-,-
,418,FOUNDER HOLD,HKD,"0,38","0,385","0,385",90000
,,,,"0,385","0,375","0,38",34280
,419,HUAYI TENCENT,HKD,"0,19","0,193","0,194",16020200
,,,,"0,193","0,192","0,189",3078667
,420,FOUNTAIN SET,HKD,"1,13","1,14","1,14",538000
,,,,"1,14","1,12","1,12",607920
,422,VMEP HOLDINGS,HKD,"0,31","0,31","0,315",23000
,,,,"0,31","0,305","0,31",7140
,423,HKET HOLDINGS,HKD,"1,36","1,35","1,36",512000
,,,,"1,35","1,34","1,27",673520
,425,MINTH GROUP,HKD,"27,50","27,80","28,40",4719948
,,,,"27,80","27,75","27,45",131367678
,426,ONE MEDIA GROUP,HKD,"0,88","0,89",-,-
,,,,"0,88","0,75",-,-
,428,COCOON HOLDINGS,HKD,"0,67","0,67","0,68",356000
,,,,"0,65","0,65","0,64",233000
,430,ORIENTAL EXPL,HKD,"0,087","0,09",-,-
,,,,"0,087","0,087",-,-
,431,G CHINA FIN,HKD,"0,201","0,201","0,201",3204000
,,,,"0,201","0,20","0,20",640828
,432,PCPD,HKD,"2,27","2,27","2,27",3000
,,,,"2,27","2,24","2,27",6810
,433,NORTH MINING,HKD,"0,027","0,031","0,032",253420000
,,,,"0,03","0,03","0,027",7661880
,434,BOYAA,HKD,"1,56","1,61","1,61",273768
,,,,"1,57","1,57","1,57",435529
,435,SUNLIGHT REIT,HKD,"4,90","4,92","4,92",1136846
,,,,"4,92","4,91","4,89",5580856
,436,NU ENVIRO,HKD,"0,43","0,43",-,-
,,,,"0,43","0,39",-,-
,438,IRICO NEWENERGY,HKD,"0,58","0,58","0,58",44000
,,,,"0,58","0,57","0,57",25160
,439,KUANGCHI,HKD,"0,64","0,64","0,65",2899000
,,,,"0,64","0,63","0,62",1834760
,440,DAH SING,HKD,"43,55","43,15","43,55",149396
,,,,"43,10","43,10","43,10",6456479
,442,HIFOOD GROUP,HKD,"2,52","2,52",-,-
,,,,"2,52","2,32",-,-
,444,SINCEREWATCH HK,HKD,"0,09","0,088","0,088",30000
,,,,"0,088","0,082","0,085",2600
,445,CIMC-TIANDA,HKD,"0,26","0,26","0,26",1570000
,,,,"0,26","0,255","0,25",397200
,449,CHIGO HOLDING,HKD,"0,07","0,073","0,072",1440000
,,,,"0,071","0,07","0,07",101956
,450,HUNG HING PRINT,HKD,"1,17","1,17",-,-
,,,,"1,17","1,13",-,-
,451,GCL NEWENERGY,HKD,"0,295","0,29","0,295",16956000
,,,,"0,29","0,285","0,28",4832320
,455,TIANDA PHARMA,HKD,"0,232","0,241","0,23",742000
,,,,"0,24","0,24","0,23",170660
,456,NEW CITY DEV,HKD,"1,04","1,06","1,05",300000
,,,,"1,05","1,04","1,04",313200
,458,TRISTATE HOLD,HKD,"1,67","1,88","1,70",30000
,,,,"1,70","1,67","1,70",51000
,459,MIDLAND IC&I,HKD,"0,208","0,206","0,203",45000
,,,,"0,203","0,203","0,202",9065
,460,SIHUAN PHARM,HKD,"1,77","1,80","1,80",12296941
<,/font>,</pre><pre><font,siz,e='1'>,,,"1,80     1"
,462,NATURAL DAIRY,HKD,TRADING,SUSPENDED,,
,464,KENFORD GROUP,HKD,"1,64","1,88","1,95",24000
,,,,"1,77","1,77","1,77",44680
,465,FUTONG TECH,HKD,"0,70","0,77",-,-
,,,,"0,70","0,65",-,-
,467,UNITEDENERGY GP,HKD,"1,46","1,46","1,47",4352058
,,,,"1,46","1,45","1,43",6295080
,468,GAPACK,HKD,"4,68","4,70","4,77",500033
,,,,"4,70","4,69","4,63",2336939
,469,CAPXON INT'L,HKD,"0,37","0,37",-,-
,,,,"0,37","0,365",-,-
,471,CMMB VISION,HKD,"0,104","0,103","0,103",1672610
,,,,"0,102","0,102","0,102",171187
,472,NEW SILKROAD,HKD,"0,69","0,72","0,73",564350
,,,,"0,72","0,67","0,66",381027
,474,HAO TIAN DEV,HKD,"0,222","0,229","0,232",247400
,,,,"0,229","0,208","0,221",55845
,475,ZHONG FA ZHAN,HKD,"1,34","1,39","1,37",326000
,,,,"1,34","1,31","1,31",439460
,476,CH DYNAMICS,HKD,"0,117","0,118","0,118",610000
,,,,"0,118","0,111","0,11",67910
,479,CIL HOLDINGS,HKD,"0,064","0,068","0,067",20000
,,,,"0,067","0,06","0,067",1340
,480,HKR INT'L,HKD,"3,76","3,81","3,85",340160
,,,,"3,80","3,80","3,79",1298465
,482,SANDMARTIN INTL,HKD,"0,065","0,065",-,-
,,,,"0,065","0,056",-,-
,483,BAUHAUS INT'L,HKD,"1,31","1,31","1,31",104000
,,,,"1,30","1,22","1,25",130220
,484,FORGAME,HKD,"6,29","6,07","6,11",23500
,,,,"6,06","6,06","6,06",142894
,485,CHINASINOSTAR,HKD,"0,04","0,043","0,048",5620000
,,,,"0,043","0,041","0,04",233840
,486,RUSAL,HKD,"2,21","2,28","2,27",3992000
,,,,"2,27","2,27","2,20",8946920
,487,SUCCESSUNIVERSE,HKD,"0,25","0,249","0,246",800000
,,,,"0,248","0,248","0,245",196640
,488,LAI SUN DEV,HKD,"13,18","13,20","13,20",86417
,,,,"13,20","13,12","13,02",1136923
,489,DONGFENG GROUP,HKD,"7,56","7,65","7,65",12071784
,,,,"7,65","7,64","7,48",91414047
,491,EMPEROR CULTURE,HKD,"0,145","0,142","0,147",2420000
,,,,"0,14","0,138","0,136",338720
,493,GOME RETAIL,HKD,"0,70","0,71","0,71",33193608
,,,,"0,71","0,70","0,70",23421358
,494,LI & FUNG,HKD,"1,67","1,64","1,66",14171962
,,,,"1,64","1,63","1,63",23240333
,495,PALADIN,HKD,"0,19","0,197","0,179",10000
,,,,"0,185","0,185","0,179",1790
,496,KASEN,HKD,"3,38","3,41","3,44",2040000
,,,,"3,40","3,38","3,26",6911460
,497,CSI PROPERTIES,HKD,"0,315","0,32","0,32",216240
,,,,"0,315","0,315","0,315",68772
,498,PYI CORP,HKD,"0,12","0,121","0,122",1544000
,,,,"0,12","0,118","0,119",186274
,499,QINGDAO HLDGS,HKD,"0,61","0,60","0,60",50000
,,,,"0,60","0,56","0,60",30000
,500,FRONTIER SER,HKD,"1,29","1,41","1,39",1291037
,,,,"1,39","1,39","1,25",1702625
,503,LANSEN PHARMA,HKD,"0,94","0,97","0,97",175000
,,,,"0,97","0,95","0,95",167590
,505,HUAN YUE INTER,HKD,"0,80","0,79","0,80",173000
,,,,"0,77","0,77","0,75",132050
,506,CHINA FOODS,HKD,"3,48","3,48","3,54",1258000
,,,,"3,48","3,47","3,46",4386760
,508,DINGYI GP INV,HKD,"0,57","0,58","0,59",4170000
,,,,"0,58","0,56","0,56",2388000
,509,SUNSHINE,HKD,"0,196","0,206","0,206",900000
,,,,"0,205","0,199","0,198",179430
,510,CASH FIN SER GP,HKD,"0,064","0,066","0,069",7152517
,,,,"0,066","0,064","0,063",466625
,511,TVB,HKD,"17,78","17,74","17,80",138400
,,,,"17,74","17,64","17,60",2443738
,512,CHINAGRANDPHARM,HKD,"4,12","4,12","4,17",4692000
,,,,"4,12","4,11","4,04",19231400
,513,CONTINENTAL H,HKD,"0,109","0,117",-,-
,,,,"0,109","0,102",-,-
,515,TC ORI LIGHT,HKD,"0,067","0,067","0,065",2912000
,,,,"0,063","0,063","0,062",186356
,517,COSCO SHIP INTL,HKD,"2,74","2,75","2,75",290000
,,,,"2,74","2,74","2,68",792680
,518,TUNGTEX (HOLD),HKD,"0,68","0,69","0,67",236000
,,,,"0,66","0,66","0,66",156780
,519,APPLIED DEV,HKD,"0,60","0,61",-,-
,,,,"0,60","0,59",-,-
,520,XIABUXIABU,HKD,"11,70","11,66","11,72",1487784
,,,,"11,66","11,60","11,30",17265358
,521,CWT INT'L,HKD,"0,182","0,181","0,181",1380000
,,,,"0,176","0,175","0,175",245170
,522,ASM PACIFIC,HKD,"80,05","81,80","82,00",1761764
,,,,"81,80","81,65","79,85",142382586
,524,GREAT WALL B&R,HKD,"0,295","0,295",-,-
,,,,"0,295","0,285",-,-
,525,GUANGSHEN RAIL,HKD,"3,13","3,15","3,17",2553848
,,,,"3,14","3,14","3,10",8025130
,526,LISI GP HOLD,HKD,"0,90","0,90","0,90",1052000
,,,,"0,90","0,89","0,87",931080
,527,RUIFENG RENEW,HKD,"0,55","0,55",-,-
,,,,"0,55","0,53",-,-
,528,KINGDOM HOLDING,HKD,"1,32","1,32","1,32",26000
,,,,"1,32","1,28","1,27",33420
,529,SIS INT'L,HKD,"4,30","4,71",-,-
,,,,"4,30","4,20",-,-
,530,GOLDIN FIN HOLD,HKD,"2,83","2,89","2,89",838000
,,,,"2,88","2,86","2,82",2378800
,531,SAMSON HOLDING,HKD,"0,55","0,55","0,55",59000
,,,,"0,54","0,54","0,54",32420
,532,WKK INTL (HOLD),HKD,"1,04","1,05","1,05",124000
,,,,"1,03","1,03","1,03",128360
,533,GOLDLION HOLD,HKD,"3,09","3,10","3,15",98000
,,,,"3,10","3,09","3,10",304010
,535,GEMDALE PPT,HKD,"0,74","0,74","0,75",3182000
,,,,"0,73","0,73","0,73",2331100
,536,TRADELINK,HKD,"1,14","1,15","1,16",704000
,,,,"1,15","1,14","1,15",810840
,538,AJISEN (CHINA),HKD,"2,33","2,38","2,40",337000
,,,,"2,38","2,36","2,33",799120
,539,VICTORY CITY,HKD,"0,107","0,104","0,107",11316013
,,,,"0,104","0,103","0,103",1183578
,540,SPEEDY GLOBAL,HKD,"0,36","0,40","0,355",4000
,,,,"0,36","0,36","0,355",1420
,542,TFG INTL GP,HKD,TRADING,SUSPENDED,,
,543,PACIFIC ONLINE,HKD,"1,06","1,06","1,06",97000
,,,,"1,06","1,04","1,06",102820
,544,DAIDO GROUP,HKD,"0,044","0,043","0,043",220000
,,,,"0,043","0,038","0,042",9360
,546,FUFENG GROUP,HKD,"3,22","3,26","3,30",2914754
,,,,"3,26","3,25","3,14",9377852
,547,DIGITAL DOMAIN,HKD,"0,106","0,106","0,106",11250000
,,,,"0,106","0,103","0,102",1165350
,548,SHENZHENEXPRESS,HKD,"7,77","7,84","7,86",1638000
,,,,"7,84","7,82","7,79",12821470
,550,KK CULTURE,HKD,"1,35","1,37","1,35",10000
,,,,"1,35","1,35","1,35",13500
,551,YUE YUEN IND,HKD,"23,40","23,40","23,50",1415890
,,,,"23,40","23,30","23,00",32983722
,552,CHINACOMSERVICE,HKD,"6,50","6,71","6,78",18189499
,,,,"6,70","6,70","6,56",121840491
,553,NANJING PANDA,HKD,"2,50","2,49","2,47",180000
,,,,"2,46","2,46","2,46",443720
,554,HANS ENERGY,HKD,"0,232","0,23","0,235",1972000
,,,,"0,23","0,227","0,227",455630
,555,REXLOT HOLDINGS,HKD,"0,023","0,023","0,023",17450000
,,,,"0,023","0,022","0,022",388625
,556,PAN ASIA ENVIRO,HKD,TRADING,SUSPENDED,,
,557,TIANYUAN HEALTH,HKD,"1,06","1,25","1,14",548000
,,,,"1,11","1,11","1,11",629680
,558,LK TECH,HKD,"0,78","0,80","0,80",387500
,,,,"0,80","0,78","0,78",305475
,559,DETAI NEWENERGY,HKD,"0,033","0,033","0,032",1730000
,,,,"0,032","0,032","0,031",54890
,560,CHU KONG SHIP,HKD,"1,82","1,84","1,85",232000
,,,,"1,84","1,81","1,80",422660
,563,SH IND URBAN,HKD,"1,35","1,36","1,36",3866000
,,,,"1,36","1,35","1,34",5196660
,564,ZMJ,HKD,"3,95","3,88","3,95",208000
,,,,"3,86","3,86","3,81",805162
,565,ART GROUP HOLD,HKD,"0,28","0,31",-,-
,,,,"0,28","0,25",-,-
,566,HANERGY TFP,HKD,TRADING,SUSPENDED,,
,567,DAISHOMICROLINE,HKD,"0,275","0,295",-,-
,,,,"0,275","0,231",-,-
,568,SHANDONG MOLONG,HKD,"1,42","1,42","1,44",242000
,,,,"1,42","1,41","1,41",342100
,569,CH AUTOMATION,HKD,"1,08","1,06","1,06",7000
,,,,"1,06","1,00","1,06",7420
,570,TRAD CHI MED,HKD,"5,45","5,55","5,60",12621032
,,,,"5,55","5,54","5,42",69964078
,571,ESUN HOLDINGS,HKD,"1,21","1,21","1,21",136000
,,,,"1,20","1,20","1,20",163300
,572,FUTURE WORLD FH,HKD,"0,06","0,06","0,061",9579089
,,,,"0,06","0,059","0,058",569823
,573,TAO HEUNG HLDGS,HKD,"1,35","1,35",-,-
,,,,"1,35","1,33",-,-
,574,PASHUN INT'L,HKD,"0,64","0,65","0,68",15022000
,,,,"0,65","0,64","0,63",9764480
,575,REGENT PACIFIC,HKD,"0,35","0,385","0,425",71221607
,,,,"0,38","0,38","0,38",28694399
,576,ZHEJIANGEXPRESS,HKD,"6,56","6,59","6,62",7183076
,,,,"6,57","6,57","6,48",47207161
,577,SOUTH SHORE HLD,HKD,"0,345","0,355","0,355",407400
,,,,"0,34","0,34","0,34",142136
,578,ROSAN RES,HKD,"0,052","0,06",-,-
,,,,"0,054","0,054",-,-
,579,JNCEC,HKD,"1,50","1,51","1,51",3545300
,,,,"1,50","1,50","1,49",5316106
,580,SUN.KING ELEC,HKD,"1,07","1,12","1,10",184000
,,,,"1,10","1,09","1,07",198340
,581,CHINA ORIENTAL,HKD,"5,21","5,13","5,26",9894504
,,,,"5,12","5,12","5,08",50792575
,582,LANDING INTL,HKD,"2,99","2,92","3,10",6820574
,,,,"2,92","2,90","2,89",20414201
,583,GWPA HOLDINGS,HKD,"1,20","1,20",-,100
,,,,"1,20","1,15",-,113
,585,IMAGI INT'L,HKD,"1,67","1,75","1,76",532600
,,,,"1,75","1,66","1,60",908298
,586,CONCH VENTURE,HKD,"24,80","25,10","25,15",3993262
,,,,"25,05","25,00","24,75",99791279
,587,HUA HAN HEALTH,HKD,TRADING,SUSPENDED,,
,588,BEIJING N STAR,HKD,"2,38","2,39","2,42",1558000
,,,,"2,36","2,35","2,34",3694900
,590,LUK FOOK HOLD,HKD,"23,45","23,95","23,95",1091496
