,CODE,NAME OF STOCK,CUR,"PRV,CLO/",ASK/,HIGH/,SHARES TRADED/
,,,,CLOSING,BID,LOW,TURNOVER ($)
,212,NANYANG HOLD,HKD,"53,00","53,50","53,25",500
,,,,"53,25","52,60","53,25",26625
,213,NATIONAL ELEC H,HKD,"1,10","1,10","1,10",114000
,,,,"1,10","1,09","1,09",124300
,214,ASIA ORIENT,HKD,"1,46","1,48",-,-
,,,,"1,46","1,45",-,-
,215,HUTCHTEL HK,HKD,"2,92","2,96","2,96",2851143
,,,,"2,96","2,95","2,91",8407454
,216,CHINNEY INV,HKD,"2,65","2,65",-,-
,,,,"2,65","2,55",-,-
,217,CHINA CHENGTONG,HKD,"0,202","0,211","0,213",552000
,,,,"0,201","0,201","0,201",112634
,218,SHENWANHONGYUAN,HKD,"1,63","1,66","1,65",265000
,,,,"1,65","1,64","1,61",434650
,219,SHUNHO PROPERTY,HKD,"2,58","2,70",-,619
,,,,"2,58","2,56",-,1566
,220,U-PRESID CHINA,HKD,"7,08","6,75","7,08",12070730
,,,,"6,75","6,71","6,64",81932737
,221,EASY ONE FIN,HKD,"0,40","0,40",-,480
,,,,"0,40","0,33",-,151
,222,MIN XIN HOLD,HKD,"5,55","5,60","5,65",58000
,,,,"5,60","5,55","5,57",327240
,223,ELIFE HLDGS,HKD,"0,09","0,089","0,089",668000
,,,,"0,088","0,087","0,087",58412
,224,PIONEER GLOBAL,HKD,"1,65","1,70","1,65",100000
,,,,"1,65","1,65","1,65",165000
,225,POKFULAM,HKD,"16,98","17,34",-,-
,,,,"17,00","17,00",-,-
,226,LIPPO,HKD,"2,99","2,97","2,85",3000
,,,,"2,85","2,85","2,85",8670
,227,FIRST SHANGHAI,HKD,"0,45","0,455","0,46",528000
,,,,"0,45","0,45","0,445",240200
,228,CHINA ENERGY,HKD,"0,087","0,084","0,086",4492000
,,,,"0,083","0,083","0,081",374916
,229,RAYMOND IND,HKD,"1,03","1,05","1,05",110000
,,,,"1,03","1,03","1,02",113050
,230,MINMETALS LAND,HKD,"1,34","1,33","1,35",74000
,,,,"1,32","1,32","1,32",98580
,231,PING AN SEC GP,HKD,"0,25","0,248","0,249",790000
,,,,"0,248","0,236","0,247",195950
,232,AVIC INT'L,HKD,"0,198","0,203","0,206",10576000
,,,,"0,202","0,202","0,198",2147186
,233,MY MEDICARE,HKD,TRADING,SUSPENDED,,
,234,NEW CENTURY GP,HKD,"0,129","0,129","0,129",200000
,,,,"0,129","0,124","0,128",25616
,235,CHINA STRATEGIC,HKD,"0,057","0,056","0,058",11547511
,,,,"0,054","0,054","0,054",646328
,236,SAN MIGUEL HK,HKD,"1,24","1,25",-,-
,,,,"1,24","1,15",-,-
,237,SAFETY GODOWN,HKD,"13,82","13,90","13,88",12000
,,,,"13,88","13,80","13,86",166520
,238,EVERGREEN INT,HKD,"0,495","0,50","0,49",10000
,,,,"0,49","0,49","0,49",4900
,239,PAK FAH YEOW,HKD,"2,98","3,10","2,98",20000
,,,,"2,98","2,96","2,98",59600
,240,BUILD KING HOLD,HKD,"0,84","0,89","0,89",2910000
,,,,"0,88","0,88","0,82",2501600
,241,ALI HEALTH,HKD,"7,07","7,21","7,21",10217732
,,,,"7,21","7,20","7,07",73100257
,242,SHUN TAK HOLD,HKD,"2,64","2,65","2,66",2062204
,,,,"2,65","2,64","2,61",5449341
,243,QPL INT'L,HKD,"0,055","0,056","0,055",405000
,,,,"0,055","0,055","0,054",21825
,244,SINCERE,HKD,"0,151","0,177","0,19",8986000
,,,,"0,177","0,172","0,158",1591537
,245,CN MINSHENG FIN,HKD,"0,237","0,238","0,237",102000
,,,,"0,237","0,232","0,237",24154
,246,REALGOLD MINING,HKD,TRADING,SUSPENDED,,
,247,TST PROPERTIES,HKD,"26,00",-,-,-
,,,,"26,00","25,50",-,-
,248,HKC INT'L HOLD,HKD,"0,105","0,11",-,-
,,,,"0,105","0,095",-,-
,250,SINO-I TECH,HKD,"0,07","0,073","0,073",250000
,,,,"0,072","0,066","0,067",17350
,251,SEA HOLDINGS,HKD,"10,08","10,40","10,08",66726
,,,,"10,04","9,99","9,98",668501
,252,SE ASIA PPT,HKD,"3,42",-,-,-
,,,,"3,42","3,22",-,-
,253,SHUNHO HOLDINGS,HKD,"2,21","2,34",-,-
,,,,"2,21","2,10",-,-
,254,NUR HOLDINGS,HKD,TRADING,SUSPENDED,,
,255,LUNG KEE,HKD,"3,50","3,54","3,52",242000
,,,,"3,50","3,50","3,48",847180
,256,CITYCHAMP,HKD,"1,65","1,67","1,67",2538000
,,,,"1,67","1,66","1,66",4220932
,257,CHINA EB INT'L,HKD,"6,92","7,10","7,10",15597351
,,,,"7,09","7,09","7,02",110384909
,258,TOMSON GROUP,HKD,"2,56","2,65","2,70",746270
